MyRM5ocMGAx_$_George_$_Harrison_$_Netwerk Engineer_$_25-02-1981_$_GHarrison_$_MyPassw0rd
3wEvdXCN2Az_$_Mick_$_Jagger_$_UX Designer_$_26-07-1979_$_MJagger_$_StonesRock
Xs8BzmJm7xp_$_Elvis_$_Presley_$_Data Analist_$_08-01-1985_$_EPresley_$_HoundDog123
1hNcglag7HN_$_Freddie_$_Mercury_$_Software Ontwikkelaar_$_05-09-1980_$_FMercury_$_BohemianRhapsody
t1CgFyoByBA_$_Bono_$_Vox_$_Project Manager_$_14-05-1982_$_BVox_$_U2CanDoIt
dBrqYbv1DvB_$_Adele_$_Adkins_$_System Administrator_$_19-03-1978_$_AAdkins_$_HelloWorld
gERq46SFH7e_$_Whitney_$_Houston_$_Database Specialist_$_09-12-1984_$_WHouston_$_IWillAlwaysLoveDB
11C4tRzpfso_$_Rogers_$_Nelson_$_IT Consultant_$_07-06-1983_$_PRNelson_$_PurpleRain
LBYMRTNvv27_$_Amy_$_Winehouse_$_Web Developer_$_14-09-1986_$_AWinehouse_$_Rehab123
GZwvcrMg2Pv_$_Bruno_$_Mars_$_Security Analyst_$_02-04-1988_$_BMars_$_LockedOutOfHeaven
